control_level,control_hz,inference_ms_mean_ms,inference_ms_p99_ms,action_map_ms_mean_ms,action_map_ms_p99_ms,physics_ms_mean_ms,physics_ms_p99_ms,total_ms_mean_ms,total_ms_p99_ms
joint_position,10,0.16771878414147068,0.1475425058742985,0.0009773236088221893,0.0011219820589758456,1.9378383837029105,1.9672087047365494,2.1065344914532034,2.1054864235338755
joint_position,20,0.16589422470133286,0.16014473047107458,0.000996248796582222,0.0011619995348155499,0.9749179871869273,0.9955274825915694,1.1418084606848424,1.1483987054089084
joint_position,50,0.16257609162130393,0.15031061688205227,0.0009897077979985625,0.0012120101018808782,0.3959479513432598,0.4050519215525128,0.5595137507625623,0.5562051021843217
joint_position,100,0.16140885185450315,0.14532520057400689,0.0009890059882309288,0.0011730907135643065,0.20186460933473427,0.2086060936562717,0.36426246717746835,0.3521920050843619
joint_position,200,0.15949095923861023,0.13858210237231106,0.0009405560267623514,0.0010720104910433292,0.08482891808671411,0.08891901234164834,0.2452604333520867,0.22537730721523985
pwm,10,0.17509020742727444,0.16411142656579614,0.0010837924492079765,0.0012930959928780794,3.4789763016597135,3.5751181008527055,3.655150301536196,3.718404383107554
pwm,20,0.16985895909601822,0.15689241903601214,0.0009736263746162876,0.0011620094301179051,1.013746683500358,1.0372028147685342,1.1845792689709924,1.1884003700106405
pwm,50,0.17039520607795566,0.15216060623060912,0.0010034762090072036,0.0011630792869254947,0.5613054456480313,0.5741667113034055,0.7327041279349942,0.7249602454248816
pwm,100,0.16817147833353374,0.14887731085764244,0.0010074637539219111,0.0011821938096545634,0.28970228736579884,0.3071123908739537,0.4588812294532545,0.4499412342556752
pwm,200,0.16374077784712426,0.14263262477470562,0.0009773838828550652,0.0011221106979064643,0.09508958690275904,0.17324995540548113,0.25980774863273837,0.3123239750857464
torque,10,0.1634982662362745,0.15402171935420483,0.0009732215548865497,0.0011821227963082492,1.9570717171009164,1.9710954144829884,2.1215432048920775,2.115655616798904
torque,20,0.16612132851150818,0.1539608262828551,0.0009608463733457029,0.0011130786151625216,0.9966149855754338,1.0077904161880724,1.1636971604602877,1.1508042953209952
torque,50,0.16256677341880277,0.14432240190217271,0.0010007518576458097,0.0011831021402031183,0.39902599292690866,0.40485761157469824,0.5625935182033572,0.5491758233984001
torque,100,0.16250024727196433,0.1441253224038519,0.0009847480396274477,0.001182093983516097,0.20227469845849555,0.20886679674731568,0.3657596937700873,0.34951509325765073
torque,200,0.1607719271996757,0.14002982818055898,0.0009561197366565466,0.0011119991540908813,0.08175975109043065,0.08632329001557082,0.2434877980267629,0.22339342802297324
